lines of code,class,print(,__future__,xrange, range,"u""",print ,unicode(,__next__(,raw_input(,explanation
"def delta_time(self, value):",2,,,,,,,,,,
file_dest = path_dest.split(u'/')[-1],2,,,,,u'/')[-1],,,,,u'/')[-1]
"u""global_mem needs to be positive""",2,,,,,"u""global_mem",,,,,"u""global_mem"
"(u""raw_dscp"", c_ubyte, 6),",2,,,,,"u""raw_dscp"",",,,,,"u""raw_dscp"","
ICON_FOLDER2 = '\x02',2,,,,,,,,,,
else: dark =  False,2,,,,,,,,,,
"tk.Button(self, text=u""Browse"", command=lambda *args:browse(5))]",2,,,,,"u""Browse"",",,,,,"u""Browse"","
print fileName,2,,,,,,print fileName,,,,print fileName
"self.sensors_as_dict[port_motor_input(self._port)] = struct.unpack(u'<b', reply)[0]",2,,,,,"u'<b',",,,,,"u'<b',"
ops = ''.join((,2,,,,,,,,,,
GET_TBATT = '\x05',2,,,,,,,,,,
"print u""Open file "" + filename",2,,,,,"u""Open","print u""Open file "" + filename",,,,"u""Open print u""Open file "" + filename"
def remotes(self):,2,,,,,,,,,,
round(cur_mov[u'target_motor_pos'][0]) -,2,,,,,u'target_motor_pos'][0]),,,,,u'target_motor_pos'][0])
u'tld must be a str',2,,,,,u'tld,,,,,u'tld
LED_RED = '\x02',2,,,,,,,,,,
"help=u' '.join([_ARGS_HELP[u'address'], u'dump.']))",2,,,,,"u' '.join([_ARGS_HELP[u'address'],",,,,,"u' '.join([_ARGS_HELP[u'address'],"
help=_ARGS_HELP[u'memmap']),2,,,,,u'memmap']),,,,,u'memmap'])
[self._port][u'used_by'] = None,2,,,,,u'used_by'],,,,,u'used_by']
"0x8E: u""ROHC""}",2,,,,,"u""ROHC""}",,,,,"u""ROHC""}"
print rtp.payload,2,,,,,,print rtp.payload,,,,print rtp.payload
@_(u'def_param'),2,,,,,u'def_param'),,,,,u'def_param')
u'''reads busy state of motors (returns operations),2,,,,,u'''reads,,,,,u'''reads
"def __init__(self, api_id = u"""", api_secret = u""""):",2,,,,,"u"""",",,,,,"u"""","
"u""global_mem has a maximum of 1019""",2,,,,,"u""global_mem",,,,,"u""global_mem"
"0x59: u""OSPF"",      0x5A: u""Sprite-RPC"",  0x5B: u""LARP"",",2,,,,,"u""OSPF"",",,,,,"u""OSPF"","
else: sync_mode =  None,2,,,,,,,,,,
self._send_command(self._COMMAND[u'go']),2,,,,,u'go']),,,,,u'go'])
"kwargs = dict((v, arguments.get(k)) for k, v in {u""rdclass"": u""rdclass"", u""edns"": u""use_edns"", u""want_dnssec"": u""want_dnssec"", u""edns_flags"": u""ednsflags"", u""edns_payload"": u""request_payload""}.items())",2,,,,,"u""rdclass"":",,,,,"u""rdclass"":"
"def _print(self, progress = None):",2,,,,,,,,,,
"progress_update = lambda *_: None, **_3to2kwargs):",2,,,,,,,,,,
"for dict in {u""Notes"": notes, u""References"": references, u""Credits"": credits}.items():",2,,,,,"u""Notes"":",,,,,"u""Notes"":"
ICON_WIFI = '\x0A',2,,,,,,,,,,
"text=u'Step 2. Processing (DInSAR)',",2,,,,,u'Step,,,,,u'Step
GET_ITEM = '\x13',2,,,,,,,,,,
"(u""opt_length"", c_ubyte, 8)]",2,,,,,"u""opt_length"",",,,,,"u""opt_length"","
opMoveF_F = '\x3F',2,,,,,,,,,,
"super(Color, self).__exit__(exc_type, exc_value, exc_traceback)",2,,,,,,,,,,
"print u""File was saved at "" + dst",2,,,,,"u""File","print u""File was saved at "" + dst",,,,"u""File print u""File was saved at "" + dst"
"if u""OK"" in resp:",2,,,,,"u""OK""",,,,,"u""OK"""
ur'\.[0-9](?:_?[0-9])*') + maybe(Exponent),2,,,,,,,,,,
u'used_by': None,2,,,,,u'used_by':,,,,,u'used_by':
params_name = [x[u'name'] for x in params],2,,,,,u'name'],,,,,u'name']
DEL_TAB = '\x01'  # Use tab as delimiter,2,,,,,,,,,,
"protocol,",2,,,,,,,,,,
"elif tone.startswith(u""e""):",2,,,,,"u""e""):",,,,,"u""e""):"
"if u""v4"" in val:",2,,,,,"u""v4""",,,,,"u""v4"""
"value = self.builder.fcmp_ordered(u'<',lhs,rhs)",2,,,,,"u'<',lhs,rhs)",,,,,"u'<',lhs,rhs)"
speed = _3to2kwargs['speed']; del _3to2kwargs['speed'],2,,,,,,,,,,
def _final_move_for(self):,2,,,,,,,,,,
cur_mov[u'last_motor_pos'] = cur_mov[u'start_motor_pos'],2,,,,,u'last_motor_pos'],,,,,u'last_motor_pos']
FAVOUR_ITEM = '\x0B',2,,,,,,,,,,
GET_ID = '\x0C',2,,,,,,,,,,
"except TypeError, e:",2,,,,,,,,,,
"for j in xrange (i+1,Num_data):",2,,,xrange (,,,,,,,xrange (
"state=u""disabled"",",2,,,,,"u""disabled"",",,,,,"u""disabled"","
else: ramp_up_time =  0.15,2,,,,,,,,,,
opJr_Lt8 = '\x64'  # BRANCH,2,,,,,,,,,,
"def erase(self, address = None, size = None,",2,,,,,,,,,,
"u""error "" +",2,,,,,"u""error",,,,,"u""error"
@_(ur'\n'),2,,,,,,,,,,
"u'go': 0x21,",2,,,,,u'go':,,,,,u'go':
opInput_Write = '\x9F',2,,,,,,,,,,
"return (0xff & val).to_bytes(1, u'big')",2,,,,,u'big'),,,,,u'big')
HALTED = '\x80',2,,,,,,,,,,
"btn2.config(state=u""normal"")",2,,,,,"u""normal"")",,,,,"u""normal"")"
"u'ramp_up_time': ramp_up_time,",2,,,,,u'ramp_up_time':,,,,,u'ramp_up_time':
port_str = u'PORT_A',2,,,,,u'PORT_A',,,,,u'PORT_A'
CONNEC_ITEMS = '\x11',2,,,,,,,,,,
"), u'current movement in progress'",2,,,,,u'current,,,,,u'current
PICTURE = '\x07',2,,,,,,,,,,
TIMES = ur'\*',2,,,,,,,,,,
")[0].split('\x00')[0].decode(u""utf8"")",2,,,,,"u""utf8"")",,,,,"u""utf8"")"
author = u'Christoph Gaukel',2,,,,,u'Christoph,,,,,u'Christoph
"super(Gyro, self).__init__(",2,,,,,,,,,,
"assert isinstance(value, unicode), \",2,,,,,,,,,,
"dump_command.add_argument(u'-s', u'--size', default=None,",2,,,,,"u'-s',",,,,,"u'-s',"
g.write(u'\nintf_tops.csh intf.in batch_tops.config\n'),2,,,,,u'\nintf_tops.csh,,,,,u'\nintf_tops.csh
GET_IMAGE = '\x12',2,,,,,,,,,,
elif op == u'!=':,2,,,,,u'!=':,,,,,u'!=':
"(u""raw_destination"", c_ulong)]",2,,,,,"u""raw_destination"",",,,,,"u""raw_destination"","
if 'delta_time' in _3to2kwargs: delta_time = _3to2kwargs['delta_time']; del _3to2kwargs['delta_time'],2,,,,,,,,,,
"self.parser.add_argument(u""-m"", u""--metaquery"", action=u""store_true"", help=u""Execute as MetaQuery."")",2,,,,,"u""-m"",",,,,,"u""-m"","
u'free',2,,,,,u'free',,,,,u'free'
"UDPSock.bind((u'', 3015))",2,,,,,"u'',",,,,,"u'',"
"speed=self._current_movement[u'speed'],",2,,,,,"u'speed'],",,,,,"u'speed'],"
if platform.system() == u'Darwin':,2,,,,,u'Darwin':,,,,,u'Darwin':
NAME[u'while'] = WHILE,2,,,,,u'while'],,,,,u'while']
opOutput_Prg_Stop = '\xB4',2,,,,,,,,,,
"self.parser.add_argument(u""-ns"", u""--nameservers"", nargs=u""+"", type=unicode, help=u""A list of nameservers to query. Each nameserver is a string which contains the IP address of a nameserver."")",2,,,,,"u""-ns"",",,,,,"u""-ns"","
os.chdir(u'../raw'),2,,,,,u'../raw'),,,,,u'../raw')
"u'sB' + unicode(part_size) + u's',",2,,,,,u'sB',,unicode(,,,u'sB' unicode(
"title=u""Select a file"")",2,,,,,"u""Select",,,,,"u""Select"
LED_ORANGE_PULSE = '\x09',2,,,,,,,,,,
"assert isinstance(path_source, unicode), \",2,,,,,,,,,,
"filename=resource_path(os.path.join(u'src', filename1))",2,,,,,"u'src',",,,,,"u'src',"
"test,Type = self.visit_value(branch[1][u'test'])",2,,,,,u'test']),,,,,u'test'])
"u""duration needs to be positive""",2,,,,,"u""duration",,,,,"u""duration"
"u'run': u'Run program after loading.',",2,,,,,u'run':,,,,,u'run':
TYPE_PROGRAM = '\x06',2,,,,,,,,,,
NO_USBSTICK = '\x0C',2,,,,,,,,,,
"rb1=tk.Radiobutton(self, text=u'yes',",2,,,,,"u'yes',",,,,,"u'yes',"
opJr_Nan = '\x43',2,,,,,,,,,,
"u'expr LE expr',",2,,,,,u'expr,,,,,u'expr
GET_STATUS = '\x16',2,,,,,,,,,,
"parameters = ''.join([parameters, self._checksum(parameters)])",2,,,,,,,,,,
else: ramp_up =  30,2,,,,,,,,,,
"u""led_sequence"": (",2,,,,,"u""led_sequence"":",,,,,"u""led_sequence"":"
"struct.pack(u'<BH', handle, part_size)  # HANDLE, SIZE",2,,,,,"u'<BH',",,,,,"u'<BH',"
os.makedirs(u'raw_orig'),2,,,,,u'raw_orig'),,,,,u'raw_orig')
"return struct.unpack(u'<i', reply)[0]",2,,,,,"u'<i',",,,,,"u'<i',"
"raise NoEV3(u'multiple EV3 found, you need to set argument host')",2,,,,,u'multiple,,,,,u'multiple
opCp_Eq16 = '\x4D',2,,,,,,,,,,
start_pos_outer = cur_mov[u'start_motor_pos'][0],2,,,,,u'start_motor_pos'][0],,,,,u'start_motor_pos'][0]
"output.append(int(u"""".join(imap(unicode, binary)), 2))",2,,,,,"u"""".join(imap(unicode,",,,,,"u"""".join(imap(unicode,"
"def check_sum(data, udp = False):",2,,,,,,,,,,
"rb2=tk.Radiobutton(self, text=u'no',",2,,,,,"u'no',",,,,,"u'no',"
"frame=tk.LabelFrame(self, text=u'Polarization')",2,,,,,u'Polarization'),,,,,u'Polarization')
"self.parser.add_argument(u""-t"", u""--rdtype"", type=unicode, default=1, help=u""Query type."")",2,,,,,"u""-t"",",,,,,"u""-t"","
opMove8_16 = '\x31',2,,,,,,,,,,
"if location: url += u""&location="" + location",2,,,,,"u""&location=""",,,,,"u""&location="""
ports = glob.glob(u'/dev/tty.*'),2,,,,,u'/dev/tty.*'),,,,,u'/dev/tty.*')
if '_control' in _3to2kwargs: _control = _3to2kwargs['_control']; del _3to2kwargs['_control'],2,,,,,,,,,,
"self._physical_ev3._introspection[u""network_name""],",2,,,,,"u""network_name""],",,,,,"u""network_name""],"
"0x5C: u""MTP"",       0x5D: u""AX.25"",       0x5E: u""OS"",",2,,,,,"u""MTP"",",,,,,"u""MTP"","
elif sys.platform.startswith(u'darwin'):,2,,,,,u'darwin'):,,,,,u'darwin'):
from itertools import izip,2,,,,,,,,,,
"self.titlePage1 = QLabel(u"" Biology Experiment List"")",2,,,,,"u"" Biology",,,,,"u"" Biology"
"if region: url += u""&region="" + region",2,,,,,"u""&region=""",,,,,"u""&region="""
"for attribute in imap(lambda name: getattr(module, name), ifilter(lambda x: not x.startswith(u""_""), dir(module))):",2,,,,,"u""_""),",,,,,"u""_""),"
print datetime.now().strftime(u'%H:%M:%S.%f') +,2,,,,,u'%H:%M:%S.%f'),print datetime.now().strftime(u'%H:%M:%S.%f'),,,,u'%H:%M:%S.%f') print datetime.now().strftime(u'%H:%M:%S.%f')
"tmp=tmp+u'\n\nPlease add them into the directory of POD before you click ""Create"" button.'",2,,,,,u'\n\nPlease,,,,,u'\n\nPlease
"fullname += u"".py""",2,,,,,"u"".py""",,,,,"u"".py"""
"(u""f'"", 1),",2,,,,,"u""f'"",",,,,,"u""f'"","
PORT_B_SENSOR = '\x11',2,,,,,,,,,,
if 'host' in _3to2kwargs: host = _3to2kwargs['host']; del _3to2kwargs['host'],2,,,,,,,,,,
"u""msg_cnt must be 2 bytes long""",2,,,,,"u""msg_cnt",,,,,"u""msg_cnt"
SET_MOVEUP = '\x09',2,,,,,,,,,,
"value,Type = branch[1][u'value'],self.type_map[u'int']",2,,,,,"u'value'],self.type_map[u'int']",,,,,"u'value'],self.type_map[u'int']"
"u""freq must be a number""",2,,,,,"u""freq",,,,,"u""freq"
else: ramp_down_time =  None,2,,,,,,,,,,
"person.add_argument(u""--stylesheet"", type = unicode, metavar = u""url"", default = u"""", help = u""CSS file used to customize the look of person.html."")",2,,,,,"u""--stylesheet"",",,,,,"u""--stylesheet"","
LED_GREEN_FLASH = '\x04',2,,,,,,,,,,
"action, retry_num))",2,,,,,,,,,,
INIT8 = '\x08',2,,,,,,,,,,
tmp=tmp+EOF_check[i]+u'  ',2,,,,,u'  ',,,,,u'  '
"certificates = [dict((key.rsplit(u""."", 1)[-1], value) for key, value in cert.items()) for cert in censys.certificates.search(f""{self.arguments.domain} and tags: trusted"", fields = fields) if cert]",2,,,,,"u""."",",,,,,"u""."","
"u'int':ir.IntType(32),",2,,,,,"u'int':ir.IntType(32),",,,,,"u'int':ir.IntType(32),"
"(u""raw_flags"", c_ushort, 3),",2,,,,,"u""raw_flags"",",,,,,"u""raw_flags"","
"label.grid(row=6, column=3, columnspan=5, sticky=u'w')",2,,,,,u'w'),,,,,u'w')
"''.join([address.to_bytes(4, u'big'),",2,,,,,"u'big'),",,,,,"u'big'),"
"super(sniffer, self).close()",2,,,,,,,,,,
"0x24: u""XTP"",       0x25: u""DDP"",         0x26: u""IDPR-CMTP"",",2,,,,,"u""XTP"",",,,,,"u""XTP"","
class SerialWrapper1(object):,2,,,,,,,,,,
"if hole_mmc != u""?"":",2,,,,,"u""?"":",,,,,"u""?"":"
"answer = resolver.query(arguments.pop(u""query""), **kwargs)",2,,,,,"u""query""),",,,,,"u""query""),"
def polarity_right(self):,2,,,,,,,,,,
opJr_Gt32 = '\x6A',2,,,,,,,,,,
"ramp_down_time=self._current_movement[u'ramp_down_time'],",2,,,,,"u'ramp_down_time'],",,,,,"u'ramp_down_time'],"
"super(Session, self).__init__()",2,,,,,,,,,,
self._device.open_path(dev[u'path']),2,,,,,u'path']),,,,,u'path'])
VIEW_UNIT = '\x17',2,,,,,,,,,,
OPEN_READ = '\x01',2,,,,,,,,,,
arg_parser = argparse.ArgumentParser(description=u'Stm32 uart dfu utility.'),2,,,,,u'Stm32,,,,,u'Stm32
ICON_IMAGE = '\x06',2,,,,,,,,,,
def protocol(self):,2,,,,,,,,,,
GET_MODENAME = '\x16',2,,,,,,,,,,
opJr_True = '\x42',2,,,,,,,,,,
opXor8 = '\x28',2,,,,,,,,,,
raise RuntimeError(u'unknown op in current movement'),2,,,,,u'unknown,,,,,u'unknown
CONTINUE_GETFILE = '\x97',2,,,,,,,,,,
"(u""e'"", 2),",2,,,,,"u""e'"",",,,,,"u""e'"","
def read_protection_status(self):,2,,,,,,,,,,
"self.parser.add_argument(u""-l"", u""--lifetime"", type=int, default=8, help=u""The total number of seconds to spend trying to get an answer to the question. If the lifetime expires, a Timeout exception will occur."")",2,,,,,"u""-l"",",,,,,"u""-l"","
"u'x',",2,,,,,"u'x',",,,,,"u'x',"
"name.add_argument(u""--country"", type = unicode, help = u""If supplied, only companies matching given country will be returned. For example, country=United States or country=US."")",2,,,,,"u""--country"",",,,,,"u""--country"","
last_pos_outer = cur_mov[u'last_motor_pos'][1],2,,,,,u'last_motor_pos'][1],,,,,u'last_motor_pos'][1]
def parse(response):,2,,,,,,,,,,
self.listLabel2 = QLabel(u''),2,,,,,u''),,,,,u'')
"name.decode(u""utf8""),",2,,,,,"u""utf8""),",,,,,"u""utf8""),"
"self._physical_ev3._introspection[u""os_vers""],",2,,,,,"u""os_vers""],",,,,,"u""os_vers""],"
LED_RED_FLASH = '\x05',2,,,,,,,,,,
GET_SHUTDOWN = '\x10',2,,,,,,,,,,
u'readout unprotect': 0x92,2,,,,,u'readout,,,,,u'readout
opCom_Ready = '\xD0',2,,,,,,,,,,
"timeout = None, blocking = False):",2,,,,,,,,,,
"(u""f#'"", 1),",2,,,,,"u""f#'"",",,,,,"u""f#'"","
value = branch[1][u'value'],2,,,,,u'value'],,,,,u'value']
if 'duration' in _3to2kwargs: duration = _3to2kwargs['duration']; del _3to2kwargs['duration'],2,,,,,,,,,,
g.write(u'S1_'+data_date[i]+u'_ALL_F'+iw[-1],2,,,,,u'S1_'+data_date[i]+u'_ALL_F'+iw[-1],,,,,u'S1_'+data_date[i]+u'_ALL_F'+iw[-1]
"with open(args.file, u'wb') as dump:",2,,,,,u'wb'),,,,,u'wb')
"port=port, baudrate=self._DEFAULT_PARAMETERS[u'baudrate'],",2,,,,,"u'baudrate'],",,,,,"u'baudrate'],"
GET_NETWORK = '\x0E',2,,,,,,,,,,
"struct.pack(u'<H', local_mem * 1024 + global_mem),",2,,,,,"u'<H',",,,,,"u'<H',"
from io import open,2,,,,,,,,,,
CIRCLE = '\x04',2,,,,,,,,,,
"label.grid(row=4, column=0, columnspan=3, sticky=u'w')",2,,,,,u'w'),,,,,u'w')
opCp_Gt8 = '\x48',2,,,,,,,,,,
"self.parser.add_argument(u""--configure-resolver"", action=u""store_false"", help=u""If True (the default), the resolver instance is configured in the normal fashion for the operating system the resolver is running on. (I.e. a /etc/resolv.conf file on POSIX systems and from the registry on Windows systems."")",2,,,,,"u""--configure-resolver"",",,,,,"u""--configure-resolver"","
"u""speed needs to be an integer""",2,,,,,"u""speed",,,,,"u""speed"
SICON_BATT_1 = '\x04',2,,,,,,,,,,
"super(Ultrasonic, self).__del__()",2,,,,,,,,,,
RIGHT_BUTTON = '\x04',2,,,,,,,,,,
opOutput_Speed = '\xA5',2,,,,,,,,,,
DATA_RAW = '\x12'  # Raw (used in opINPUT_READEXT),2,,,,,,,,,,
dump_command = commands.add_parser(u'dump'),2,,,,,u'dump'),,,,,u'dump')
cur_mov[u'start_motor_pos'][1],2,,,,,u'start_motor_pos'][1],,,,,u'start_motor_pos'][1]
FAIL = '\x02'  # Something failed,2,,,,,,,,,,
u'speed  needs to be in range [1 - 100]',2,,,,,u'speed,,,,,u'speed
"for i,x in enumerate(izip(params_type,params_name)):",2,,,,,,,,,,
GET_CACHE_FILES = '\x14',2,,,,,,,,,,
for port in xrange(len(ports)):,2,,,xrange(,,,,,,,xrange(
"print f'\r[{""█""*self._complete_len(progress)}'",2,,,,,,"print f'\r[{""█""*self._complete_len(progress)}'",,,,"print f'\r[{""█""*self._complete_len(progress)}'"
"(u""g'"", 1),",2,,,,,"u""g'"",",,,,,"u""g'"","
LOAD_IMAGE = '\x08',2,,,,,,,,,,
"self.parser.description = (self.__doc__ or u""No description available."").split(u""\n"", 1)[-1].strip()",2,,,,,"u""No",,,,,"u""No"
SET_VISIBLE = '\x02',2,,,,,,,,,,
def _uart_dfu_init(self):,2,,,,,,,,,,
u'available only for WiFi connected devices',2,,,,,u'available,,,,,u'available
"super(Options, self).__init__()",2,,,,,,,,,,
elif branch[0] == u'Float':,2,,,,,u'Float':,,,,,u'Float':
"int(memory_map[-1][u'size'], 0) - address)",2,,,,,"u'size'],",,,,,"u'size'],"
"u'type': sensor_type,",2,,,,,u'type':,,,,,u'type':
"self._serial_write((len(data) - 1).to_bytes(1, u'big'))",2,,,,,u'big')),,,,,u'big'))
else: repeat =  False,2,,,,,,,,,,
"(u""_opt_class"", c_ubyte, 2),",2,,,,,"u""_opt_class"",",,,,,"u""_opt_class"","
def stop_sound(self):,2,,,,,,,,,,
"btn1.config(state=u""disabled"")",2,,,,,"u""disabled"")",,,,,"u""disabled"")"
u'right',2,,,,,u'right',,,,,u'right'
opArray_Read = '\xC3',2,,,,,,,,,,
"prefix2 = (prefix + u""|  "").ljust(24)",2,,,,,"u""|",,,,,"u""|"
load_command = commands.add_parser(u'load'),2,,,,,u'load'),,,,,u'load')
"copyright = u'2020, Christoph Gaukel'",2,,,,,"u'2020,",,,,,"u'2020,"
LONGPRESS = '\x02',2,,,,,,,,,,
"def add_argument_group(parser, address_required = False):",2,,,,,,,,,,
YES_NOTSEL = '\x00',2,,,,,,,,,,
else: ev3_obj =  None,2,,,,,,,,,,
SPLIT = '\x12',2,,,,,,,,,,
CLOSE_LOG = '\x11',2,,,,,,,,,,
get_id_command = commands.add_parser(u'id'),2,,,,,u'id'),,,,,u'id')
else: memory_map =  None,2,,,,,,,,,,
ICON_BRICK = '\x05'  # Bluetooth type BRICK,2,,,,,,,,,,
ICON_PC = '\x03'  # Bluetooth type PC,2,,,,,,,,,,
ur'Name: (\w+)\s\n' +,2,,,,,,,,,,
tmp1=glob.glob(info+u'/annotation/*'+iw+u'*'+polar+u'*.xml'),2,,,,,u'/annotation/*'+iw+u'*'+polar+u'*.xml'),,,,,u'/annotation/*'+iw+u'*'+polar+u'*.xml')
def connect_usb(self):,2,,,,,,,,,,
"@_retry(_RETRIES, u'get mcu id', _serial_flush)",2,,,,,u'get,,,,,u'get
step2 = cur_mov[u'step2_left'],2,,,,,u'step2_left'],,,,,u'step2_left']
dst = fileName+u'.csv',2,,,,,u'.csv',,,,,u'.csv'
"assert isinstance(value, int), u""speed must to be an int""",2,,,,,"u""speed",,,,,"u""speed"
for _ in xrange(size)]),2,,,xrange(,,,,,,,xrange(
"u""freq needs to be in range [250 - 10000]""",2,,,,,"u""freq",,,,,"u""freq"
"resolver.port = arguments.get(u""port"")",2,,,,,"u""port"")",,,,,"u""port"")"
if tmp[1] == u'SAFE' or tmp[1] == u'safe':,2,,,,,u'SAFE',,,,,u'SAFE'
ops = ''.join((,2,,,,,,,,,,
else: slow =  False,2,,,,,,,,,,
if op == u'+':,2,,,,,u'+':,,,,,u'+':
"u""direct command {:02X}:{:02X} replied error"".format(",2,,,,,"u""direct",,,,,"u""direct"
ENTERFWUPDATE = '\xA0',2,,,,,,,,,,
def position(self):,2,,,,,,,,,,
u' Recv 0x|' +,2,,,,,u' Recv,,,,,u' Recv
info=Dir_image+u'/*'+data_date[i]+u'*',2,,,,,u'/*'+data_date[i]+u'*',,,,,u'/*'+data_date[i]+u'*'
unicode.encode(path_dest) + '\x00'    # NAME,2,,,,,,,,,,
"rc, handle = struct.unpack(u'sB', reply)",2,,,,,"u'sB',",,,,,"u'sB',"
"self.parser.add_argument(u""-sP"", u""--source-port"", type=int, default=random.randint(1, 65535), help=u""Source port."")",2,,,,,"u""-sP"",",,,,,"u""-sP"","
text=u'Polarization',2,,,,,u'Polarization',,,,,u'Polarization'
if 'direction' in _3to2kwargs: direction = _3to2kwargs['direction']; del _3to2kwargs['direction'],2,,,,,,,,,,
"def _perform_erase(self, parameters):",2,,,,,,,,,,
"return(u'VarAssign',{u'value':value,u'name':name})",2,,,,,"u'VarAssign',{u'value':value,u'name':name})",,,,,"u'VarAssign',{u'value':value,u'name':name})"
print u'Success!',2,,,,,u'Success!',print u'Success!',,,,u'Success!' print u'Success!'
"struct.pack(u'<H', 1012),  # SIZE",2,,,,,"u'<H',",,,,,"u'<H',"
"(u""c'"", 4)",2,,,,,"u""c'"",",,,,,"u""c'"","
SYSTEM_ILLEGAL_CONNECTION = '\x0C',2,,,,,,,,,,
NAME[u'else'] = ELSE,2,,,,,u'else'],,,,,u'else']
DEL_SPACE = '\x02'  # Use space as delimiter,2,,,,,,,,,,
"except exceptions.DfuException, ex:",2,,,,,,,,,,
CONTINUE_DOWNLOAD = '\x93',2,,,,,,,,,,
"self.title(u""GMTSAR for Sentinel-1 SAR processing"")",2,,,,,"u""GMTSAR",,,,,"u""GMTSAR"
TESTSHORTPRESS = '\x0C',2,,,,,,,,,,
print u'Erasing whole memory...',2,,,,,u'Erasing,print u'Erasing whole memory...',,,,u'Erasing print u'Erasing whole memory...'
"assert host is None or isinstance(host, unicode), \",2,,,,,,,,,,
"if macromeasures: url += u""&macromeasures=true""",2,,,,,"u""&macromeasures=true""",,,,,"u""&macromeasures=true"""
image_list=glob.glob(u'S1*SLC*'),2,,,,,u'S1*SLC*'),,,,,u'S1*SLC*')
"u'expr MOD expr',",2,,,,,u'expr,,,,,u'expr
elif branch[0] == u'Name':,2,,,,,u'Name':,,,,,u'Name':
"u""ramp_down_time must be a number""",2,,,,,"u""ramp_down_time",,,,,"u""ramp_down_time"
TYPE_SDCARD = '\x10',2,,,,,,,,,,
opOutput_Time_Power = '\xAD',2,,,,,,,,,,
"u'-a', u'--address', default=u'0x8000000',",2,,,,,"u'-a',",,,,,"u'-a',"
u':'.join(u'{:02X}'.format(byte) for byte in reply[2:4]) +,2,,,,,u':'.join(u'{:02X}'.format(byte),,,,,u':'.join(u'{:02X}'.format(byte)
elif branch[0] == u'FuncCall':,2,,,,,u'FuncCall':,,,,,u'FuncCall':
"sectors = [s.to_bytes(2, u'big') for s in xrange(start, end + 1)]",2,,,xrange(,,u'big'),,,,,xrange( u'big')
"self.parser.add_argument(u""--filename"", type=argparse.FileType(u""r""), help=u""The filename of a configuration file in standard /etc/resolv.conf format. This parameter is meaningful only when I{configure} is true and the platform is POSIX."")",2,,,,,"u""--filename"",",,,,,"u""--filename"","
"u""bumps needs to be of type int""",2,,,,,"u""bumps",,,,,"u""bumps"
"_fields_ = [(u""ihl"", c_ubyte, 4),",2,,,,,"u""ihl"",",,,,,"u""ihl"","
u'EV3_TOUCH' if self.sensors_as_dict[self._port] == EV3_TOUCH,2,,,,,u'EV3_TOUCH',,,,,u'EV3_TOUCH'
"console.print(f""[!] {fullname.replace(self.location, '.')}:"", color = u""red"")",2,"print(f""[!]",,,,"u""red"")",,,,,"print(f""[!] u""red"")"
"(u""d'"", 0.25),",2,,,,,"u""d'"",",,,,,"u""d'"","
"u'ramp_up': ramp_up,",2,,,,,u'ramp_up':,,,,,u'ramp_up':
"self.raw_options = """"",2,,,,,,,,,,
WRITE_TEXT = '\x06',2,,,,,,,,,,
"label.grid(row=1, column=0, columnspan=3, sticky=u'w')",2,,,,,u'w'),,,,,u'w')
llvm_ir_parsed = llvm.parse_assembly(unicode(module)),2,,,,,,,unicode(,,,unicode(
NAME = ur'[a-zA-Z_][a-zA-Z0-9_]*',2,,,,,,,,,,
self.groupBox3 = QGroupBox(u''),2,,,,,u''),,,,,u'')
"matplotlib.use(u""Qt5Agg"")",2,,,,,"u""Qt5Agg"")",,,,,"u""Qt5Agg"")"
"u'Sound as',",2,,,,,u'Sound,,,,,u'Sound
start_pos_inner = cur_mov[u'start_motor_pos'][0],2,,,,,u'start_motor_pos'][0],,,,,u'start_motor_pos'][0]
"u""local must be a bool""",2,,,,,"u""local",,,,,"u""local"
"u'op': u'Time_Speed',",2,,,,,u'op':,,,,,u'op':
"def load_file(self, path_source, path_dest, **_3to2kwargs):",2,,,,,,,,,,
u'tone is too high: ' + tone + u' (' + unicode(freq) + u' Hz)',2,,,,,u'tone,,unicode(,,,u'tone unicode(
ops_move = ''.join((,2,,,,,,,,,,
"label=tk.Label(self,text=u'Chosen scenes')",2,,,,,u'Chosen,,,,,u'Chosen
"def update(self, motor_pos):",2,,,,,,,,,,
"if clearance == u""?"" and allowance != u""?"":",2,,,,,"u""?""",,,,,"u""?"""
S1AB=S1AB[0].split(u'/'),2,,,,,u'/'),,,,,u'/')
unicode.encode(path) + '\x00'    # NAME,2,,,,,,,,,,
"g=open(prep_sh,u'w',encoding=u'UTF-8')",2,,,,,"u'w',encoding=u'UTF-8')",,,,,"u'w',encoding=u'UTF-8')"
DOWNLOAD_END = '\x0F',2,,,,,,,,,,
"countryCode = u"""", confidence = u""max"", macromeasures = True):",2,,,,,"u"""",",,,,,"u"""","
"self._physical_ev3._introspection[u""sensors""][PORT_3][u""type""],",2,,,,,"u""sensors""][PORT_3][u""type""],",,,,,"u""sensors""][PORT_3][u""type""],"
opCp_EqF = '\x4F',2,,,,,,,,,,
"print f'\r[{"" ""*self._position}{""█""*self._bar_len}'",2,,,,,,"print f'\r[{"" ""*self._position}{""█""*self._bar_len}'",,,,"print f'\r[{"" ""*self._position}{""█""*self._bar_len}'"
"self.del_dir(u'../prjs/sound', secure=False)",2,,,,,"u'../prjs/sound',",,,,,"u'../prjs/sound',"
DEL_CACHE_FILE = '\x17',2,,,,,,,,,,
